Date,7-day hospitalizations average
11/5/2021,16.20214537
11/6/2021,15.90747107
11/7/2021,16.52137587
11/8/2021,16.93883113
11/9/2021,16.18986728
11/10/2021,15.41634724
11/11/2021,14.67045291
11/12/2021,13.83247287
11/13/2021,13.72197001
11/14/2021,13.72197001
11/15/2021,14.15477289
11/16/2021,15.08483865
11/17/2021,15.99341774
11/18/2021,16.48454158
11/19/2021,17.41460734
11/20/2021,19.62598011
11/21/2021,21.12566182
11/22/2021,21.72728852
11/23/2021,21.93601615
11/24/2021,22.52536475
11/25/2021,23.12699145
11/26/2021,23.98645816
11/27/2021,23.56593337
11/28/2021,21.66436328
11/29/2021,19.57862174
